Timestamp,Log Message,Message,User Path,Customer Path,Lot ID,Wafer ID,Port ID,Date,Time
2022-01-10 16:32:09.231000,Duration = 00:01:14<Wafer Run - Lot name: DSW\Matching_Completed\r09hcbb_PM. Wafer ID: @10@002. Port No: 1>,00:01:14,DSW,Matching_Completed,r09hcbb_PM. ,@10@002. ,1,2022-01-10 00:00:00,16:32:09.231000
2022-01-10 16:33:26.176000,Duration = 00:01:17<Wafer Run - Lot name: DSW\Matching_Completed\r09hcbb_PM. Wafer ID: @10@003. Port No: 1>,00:01:17,DSW,Matching_Completed,r09hcbb_PM. ,@10@003. ,1,2022-01-10 00:00:00,16:33:26.176000
2022-01-10 16:33:37.316000,Lot End <DSW\Matching_Completed\r09hcbb_PM>,Lot End ,DSW,Matching_Completed,r09hcbb_PM,,,2022-01-10 00:00:00,16:33:37.316000
2022-01-10 16:33:39.108000,Lot Start <DSW\Matching_Completed\a05bfudb_PM>,Lot Start ,DSW,Matching_Completed,a05bfudb_PM,,,2022-01-10 00:00:00,16:33:39.108000
2022-01-10 16:35:04.983000,Duration = 00:00:59<Wafer Run - Lot name: DSW\Matching_Completed\a05bfudb_PM. Wafer ID: @10@001. Port No: 1>,00:00:59,DSW,Matching_Completed,a05bfudb_PM. ,@10@001. ,1,2022-01-10 00:00:00,16:35:04.983000
2022-01-10 16:36:01.605000,Duration = 00:00:55<Wafer Run - Lot name: DSW\Matching_Completed\a05bfudb_PM. Wafer ID: @10@002. Port No: 1>,00:00:55,DSW,Matching_Completed,a05bfudb_PM. ,@10@002. ,1,2022-01-10 00:00:00,16:36:01.605000
2022-01-10 16:36:58.502000,Duration = 00:00:55<Wafer Run - Lot name: DSW\Matching_Completed\a05bfudb_PM. Wafer ID: @10@003. Port No: 1>,00:00:55,DSW,Matching_Completed,a05bfudb_PM. ,@10@003. ,1,2022-01-10 00:00:00,16:36:58.502000
2022-01-10 16:37:09.595000,Lot End <DSW\Matching_Completed\a05bfudb_PM>,Lot End ,DSW,Matching_Completed,a05bfudb_PM,,,2022-01-10 00:00:00,16:37:09.595000
2022-01-10 17:33:41.256000,Lot Start <Monitor\KLA2925\SPC_10012022>,Lot Start ,Monitor,KLA2925,SPC_10012022,,,2022-01-10 00:00:00,17:33:41.256000
2022-01-10 18:04:18.610000,Duration = 00:30:08<Wafer Run - Lot name: Monitor\KLA2925\SPC_10012022. Wafer ID: D15@001. Port No: 2>,00:30:08,Monitor,KLA2925,SPC_10012022. ,D15@001. ,2,2022-01-10 00:00:00,18:04:18.610000
2022-01-10 18:04:18.619000,Lot End <Monitor\KLA2925\SPC_10012022>,Lot End ,Monitor,KLA2925,SPC_10012022,,,2022-01-10 00:00:00,18:04:18.619000
2022-01-10 18:41:56.947000,Lot Start <USERS\JSR\AR128172-7651>,Lot Start ,USERS,JSR,AR128172-7651,,,2022-01-10 00:00:00,18:41:56.947000
